2016-01-31 22:04:02.888 [] INFO  KEQWebPage  - JS Console:top is 442pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:03.263 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:03.265 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: setWritingMode: line:0 srcId:undefined
2016-01-31 22:04:03.265 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: getPagePathDetails: line:0 srcId:undefined
2016-01-31 22:04:03.265 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: loadPage: line:0 srcId:undefined
2016-01-31 22:04:03.265 [] INFO  KEQWebPage  - JS Console:TypeError: 'undefined' is not an object: line:0 srcId:undefined
2016-01-31 22:04:03.265 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: disableImageDragging: line:0 srcId:undefined
2016-01-31 22:04:03.279 [] INFO  KEQWebPage  - JS Console:1184: line:46 srcId:file:///Users/garylai/Documents/untitled%20folder/html/Page-0.html
2016-01-31 22:04:03.279 [] INFO  KEQWebPage  - JS Console:915: line:46 srcId:file:///Users/garylai/Documents/untitled%20folder/html/Page-0.html
2016-01-31 22:04:03.303 [] INFO  KEQWebPage  - JS Console:LOG: In Template Loaded Function: line:1573 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:03.303 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:03.305 [] INFO  KEQWebPage  - JS Console:In Get available frame : Page value s- -1: line:324 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:03.365 [] INFO  KEQWebPage  - JS Console:frame loaded: frameLab126-1: line:72 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:03.366 [] INFO  KEQWebPage  - JS Console:dow: null: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:03.367 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.6064: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:03.367 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1250|1014|758|1024|center: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:03.367 [] INFO  KEQWebPage  - JS Console:top is 337pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:03.368 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:03.370 [] INFO  KEQWebPage  - JS Console:PAGE ALREADY LOADED: line:239 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:03.370 [] INFO  KEQWebPage  - JS Console:dow: 1250: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:03.370 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.6064: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:03.370 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1250|1014|758|1024|center: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:03.371 [] INFO  KEQWebPage  - JS Console:top is 337pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
